Color Name,Vendor Name,Thickness,Material,size,Total/SqFt,Cost/SqFt,Price Group,Tier
Arabescus White,MSI Surfaces,2cm,Marble,126 x 63,55.00,13.60,2,Low Tier
Arabescus White,MSI Surfaces,3cm,Marble,126 x 63,55.00,17.50,2,Low Tier
Absolute White,MSI Surfaces,2cm,Marble,126 x 63,55.00,26.65,3,Low Tier
Absolute White,MSI Surfaces,3cm,Marble,126 x 63,55.00,30.00,3,Low Tier
Carrara White,MSI Surfaces,2cm,Marble,126 x 63,55.00,20.90,3,Low Tier
Carrara White,MSI Surfaces,3cm,Marble,126 x 63,55.00,23.45,3,Low Tier
Carrara White Honed,MSI Surfaces,2cm,Marble,126 x 63,55.00,20.60,3,Low Tier
Carrara White Honed,MSI Surfaces,3cm,Marble,126 x 63,55.00,23.15,3,Low Tier
Fantasy Brown,MSI Surfaces,2cm,Marble,126 x 63,55.00,12.40,2,Low Tier
Fantasy Brown,MSI Surfaces,3cm,Marble,126 x 63,55.00,14.00,2,Low Tier
Fantasy Brown Classic,MSI Surfaces,3cm,Marble,126 x 63,55.00,12.20,2,Low Tier
Fantasy Brown Brushed,MSI Surfaces,2cm,Marble,126 x 63,55.00,13.30,2,Low Tier
Fantasy Brown Brushed,MSI Surfaces,3cm,Marble,126 x 63,55.00,14.95,2,Low Tier
Fantasy River,MSI Surfaces,2cm,Marble,126 x 63,55.00,12.30,2,Low Tier
Fantasy River,MSI Surfaces,3cm,Marble,126 x 63,55.00,15.40,2,Low Tier
Fantasy River Brushed,MSI Surfaces,3cm,Marble,126 x 63,55.00,18.50,2,Low Tier
Fantasy White,MSI Surfaces,3cm,Marble,126 x 63,55.00,14.95,2,Low Tier
Fantasy Silver,MSI Surfaces,3cm,Marble,126 x 63,55.00,14.30,2,Low Tier
Portinari,MSI Surfaces,2cm,Marble,126 x 63,55.00,16.45,2,Low Tier
Portinari,MSI Surfaces,3cm,Marble,126 x 63,55.00,21.40,3,Low Tier
Super White,MSI Surfaces,2cm,Marble,126 x 63,55.00,36.40,4,Mid Tier
Super White,MSI Surfaces,3cm,Marble,126 x 63,55.00,43.30,5,High Tier
Calacatta Venice,MSI Surfaces,2cm,Quartz,127 x 63,55.00,13.74,2,Low Tier
Arizona,Bolder Image Stone,2cm,Quartz,127 x 64,56.00,25.00,3,Low Tier
Aspen,Bolder Image Stone,2cm,Quartz,127 x 64,56.00,21.43,3,Low Tier
Avenza,Bolder Image Stone,2cm,Quartz,127 x 64,56.00,17.82,2,Low Tier
Calacatta Blanche Noir,Bolder Image Stone,2cm,Quartz,127 x 64,56.00,17.82,2,Low Tier
Blizzard,Bolder Image Stone,2cm,Quartz,127 x 64,56.00,16.96,2,Low Tier
Borgini,Bolder Image Stone,2cm,Quartz,127 x 64,56.00,17.77,2,Low Tier
Glory,Bolder Image Stone,2cm,Quartz,127 x 64,56.00,15.18,2,Low Tier
Gold Premium,Bolder Image Stone,2cm,Quartz,127 x 64,56.00,19.64,2,Low Tier
Gold Rush,Bolder Image Stone,2cm,Quartz,127 x 64,56.00,18.91,2,Low Tier
Gold Rush,Bolder Image Stone,3cm,Quartz,127 x 64,56.00,21.41,3,Low Tier
Calacatta Moderna,Bolder Image Stone,2cm,Quartz,138 x 79,75.00,20.00,2,Low Tier
Calacatta Perla,Bolder Image Stone,2cm,Quartz,127 x 64,56.00,17.77,2,Low Tier
Sparkling White,Bolder Image Stone,2cm,Quartz,127 x 64,56.00,12.48,2,Low Tier
Sparkling White,Bolder Image Stone,3cm,Quartz,127 x 64,56.00,14.27,2,Low Tier
Sparkling White Premium,Bolder Image Stone,3cm,Quartz,127 x 64,56.00,16.05,2,Low Tier
Sparkling White Premium,Bolder Image Stone,2cm,Quartz,138 x 79,75.00,16.00,2,Low Tier
Venato,Bolder Image Stone,3cm,Quartz,127 x 64,56.00,17.82,2,Low Tier
Calacatta Vento,Bolder Image Stone,2cm,Quartz,127 x 64,56.00,17.82,2,Low Tier
Calacatta Vento,Bolder Image Stone,3cm,Quartz,127 x 64,56.00,23.21,3,Low Tier
Calacatta Dream Stone,Bolder Image Stone,2cm,Quartz,127 x 64,56.00,19.64,2,Low Tier
Calacatta Empira,Bolder Image Stone,2cm,Quartz,127 x 64,56.00,16.96,2,Low Tier
Calacatta Gold,Bolder Image Stone,2cm,Quartz,127 x 64,56.00,17.77,2,Low Tier
Calacatta Liberta,Bolder Image Stone,2cm,Quartz,127 x 64,56.00,19.64,2,Low Tier
Calacatta Lumena,Bolder Image Stone,2cm,Quartz,127 x 64,56.00,18.75,2,Low Tier
Calacatta Macchia Vecchia,Bolder Image Stone,2cm,Quartz,127 x 64,56.00,21.43,3,Low Tier
Magnificent,Bolder Image Stone,2cm,Quartz,127 x 64,56.00,18.75,2,Low Tier
Calacatta Palm,Bolder Image Stone,2cm,Quartz,127 x 64,56.00,17.77,2,Low Tier
Calacatta Panda White,Bolder Image Stone,2cm,Quartz,127 x 64,56.00,19.64,2,Low Tier
Perfect Stone,Bolder Image Stone,2cm,Quartz,127 x 64,56.00,17.82,2,Low Tier
Royal,Bolder Image Stone,2cm,Quartz,127 x 64,56.00,19.64,2,Low Tier
Calacatta Sedona,Bolder Image Stone,2cm,Quartz,127 x 64,56.00,17.77,2,Low Tier
Tesoro,Bolder Image Stone,2cm,Quartz,127 x 64,56.00,18.75,2,Low Tier
White Pearl,Bolder Image Stone,2cm,Quartz,127 x 64,56.00,19.64,2,Low Tier
Agate,Bolder Image Stone,2cm,Quartz,127 x 64,56.00,26.79,3,Low Tier
Emerald,Bolder Image Stone,2cm,Quartz,127 x 64,56.00,26.79,3,Low Tier
Garnet,Bolder Image Stone,2cm,Quartz,127 x 64,56.00,26.79,3,Low Tier
Melso,Bolder Image Stone,2cm,Quartz,127 x 64,56.00,26.79,3,Low Tier
Moonstone,Bolder Image Stone,2cm,Quartz,127 x 64,56.00,26.79,3,Low Tier
Sapphire,Bolder Image Stone,2cm,Quartz,127 x 64,56.00,26.79,3,Low Tier
Shenno,Bolder Image Stone,2cm,Quartz,127 x 64,56.00,26.79,3,Low Tier
Topaz,Bolder Image Stone,2cm,Quartz,127 x 64,56.00,26.79,3,Low Tier
Carrara Alabaster,Bolder Image Stone,2cm,Quartz,127 x 64,56.00,17.82,2,Low Tier
Arctic Ice,Bolder Image Stone,2cm,Quartz,127 x 64,56.00,17.77,2,Low Tier
Carrara Azur,Bolder Image Stone,2cm,Quartz,127 x 64,56.00,15.18,2,Low Tier
LZM-2 Gray,Bolder Image Stone,2cm,Quartz,127 x 64,56.00,16.96,2,Low Tier
LZM-3 Gray Titan,Bolder Image Stone,2cm,Quartz,127 x 64,56.00,16.96,2,Low Tier
Carrara Opal,Bolder Image Stone,2cm,Quartz,127 x 64,56.00,16.05,2,Low Tier
Storm,Bolder Image Stone,2cm,Quartz,127 x 64,56.00,16.05,2,Low Tier
Pure Black,Bolder Image Stone,2cm,Quartz,127 x 64,56.00,13.39,2,Low Tier
Pure White,Bolder Image Stone,2cm,Quartz,127 x 64,56.00,13.39,2,Low Tier
Solid Dark Gray,Bolder Image Stone,2cm,Quartz,127 x 64,56.00,13.39,2,Low Tier
Solid Gray,Bolder Image Stone,2cm,Quartz,127 x 64,56.00,13.39,2,Low Tier
Radiant,Bolder Image Stone,2cm,Quartz,127 x 64,56.00,11.61,2,Low Tier
Snow White,Bolder Image Stone,2cm,Quartz,127 x 64,56.00,10.70,2,Low Tier
Sparkling Black,Bolder Image Stone,2cm,Quartz,127 x 64,56.00,12.48,2,Low Tier
Sparkling Gray,Bolder Image Stone,2cm,Quartz,127 x 64,56.00,10.70,2,Low Tier
Aspen,Bolder Image Stone,3cm,Quartz,127 x 64,56.00,26.79,3,Low Tier
Avenza,Bolder Image Stone,3cm,Quartz,127 x 64,56.00,21.43,3,Low Tier
Calacatta Blizzard,Bolder Image Stone,3cm,Quartz,127 x 64,56.00,23.21,3,Low Tier
Calacatta Laza,Bolder Image Stone,3cm,Quartz,127 x 64,56.00,23.21,3,Low Tier
Perfect Stone,Bolder Image Stone,3cm,Quartz,127 x 64,56.00,23.21,3,Low Tier
White Pearl,Bolder Image Stone,3cm,Quartz,127 x 64,56.00,23.21,3,Low Tier
Carrara Alabaster,Bolder Image Stone,3cm,Quartz,127 x 64,56.00,19.64,2,Low Tier
Carrara Opal,Bolder Image Stone,3cm,Quartz,127 x 64,56.00,19.64,2,Low Tier
Pure White,Bolder Image Stone,3cm,Quartz,127 x 64,56.00,16.96,2,Low Tier
Snow White,Bolder Image Stone,3cm,Quartz,127 x 64,56.00,14.27,2,Low Tier
Calacatta Dream Stone,Bolder Image Stone,2cm,Quartz,138 x 79,75.00,20.00,2,Low Tier
Calacatta Gold,Bolder Image Stone,2cm,Quartz,138 x 79,75.00,20.00,2,Low Tier
Magnificent,Bolder Image Stone,2cm,Quartz,138 x 79,75.00,18.67,2,Low Tier
Royal,Bolder Image Stone,2cm,Quartz,138 x 79,75.00,20.00,2,Low Tier
Superbia,Bolder Image Stone,2cm,Quartz,138 x 79,75.00,18.67,2,Low Tier
Tesoro,Bolder Image Stone,2cm,Quartz,138 x 79,75.00,18.67,2,Low Tier
Superbia,Bolder Image Stone,3cm,Quartz,138 x 79,75.00,24.00,3,Low Tier
Amazonia,Mikado Quartz,3cm,Quartz,126 x 63,55.00,45.45,5,High Tier
Amazonia,Mikado Quartz,3cm,Quartz,126 x 63,55.00,45.45,5,High Tier
Aquamarine,Mikado Quartz,3cm,Quartz,126 x 63,55.00,29.09,3,Low Tier
Arctic Panda,Mikado Quartz,3cm,Quartz,126 x 63,55.00,25.45,3,Low Tier
Black Jasper,Mikado Quartz,3cm,Quartz,126 x 63,55.00,32.73,4,Mid Tier
Black Jasper,Mikado Quartz,3cm,Quartz,126 x 63,55.00,32.73,4,Mid Tier
Breeze,Mikado Quartz,3cm,Quartz,126 x 63,55.00,23.64,3,Low Tier
Brunero,Mikado Quartz,3cm,Quartz,126 x 63,55.00,27.27,3,Low Tier
Cemento,Mikado Quartz,3cm,Quartz,126 x 63,55.00,21.82,3,Low Tier
Cemento,Mikado Quartz,3cm,Quartz,126 x 63,55.00,32.73,4,Mid Tier
Dry Concrete,Mikado Quartz,3cm,Quartz,126 x 63,55.00,25.45,3,Low Tier
Elegant Winter,Mikado Quartz,3cm,Quartz,126 x 63,55.00,27.27,3,Low Tier
Fantastic Venatino,Mikado Quartz,3cm,Quartz,126 x 63,55.00,25.45,3,Low Tier
Fantasy,Mikado Quartz,3cm,Quartz,126 x 63,55.00,27.27,3,Low Tier
Frozen Lava,Mikado Quartz,3cm,Quartz,126 x 63,55.00,27.27,3,Low Tier
Galaxy,Mikado Quartz,3cm,Quartz,126 x 63,55.00,32.73,4,Mid Tier
Galaxy,Mikado Quartz,3cm,Quartz,126 x 63,55.00,32.73,4,Mid Tier
Gold Dust,Mikado Quartz,3cm,Quartz,126 x 63,55.00,27.27,3,Low Tier
Gris Ardoise,Mikado Quartz,3cm,Quartz,126 x 63,55.00,32.73,4,Mid Tier
Infinity,Mikado Quartz,3cm,Quartz,126 x 63,55.00,27.27,3,Low Tier
Infinity,Mikado Quartz,3cm,Quartz,126 x 63,55.00,32.73,4,Mid Tier
Invisible White,Mikado Quartz,3cm,Quartz,126 x 63,55.00,27.27,3,Low Tier
Jade Silk,Mikado Quartz,3cm,Quartz,126 x 63,55.00,25.45,3,Low Tier
Nero Marquina,Mikado Quartz,3cm,Quartz,126 x 63,55.00,23.64,3,Low Tier
Nero Marquina,Mikado Quartz,3cm,Quartz,126 x 63,55.00,32.73,4,Mid Tier
Pandora,Mikado Quartz,3cm,Quartz,126 x 63,55.00,36.36,4,Mid Tier
Pandora,Mikado Quartz,3cm,Quartz,126 x 63,55.00,40.00,4,Mid Tier
Picasso,Mikado Quartz,3cm,Quartz,126 x 63,55.00,27.27,3,Low Tier
Polar Land,Mikado Quartz,3cm,Quartz,126 x 63,55.00,30.91,4,Mid Tier
Polar White,Mikado Quartz,3cm,Quartz,126 x 63,55.00,21.82,3,Low Tier
Roma,Mikado Quartz,3cm,Quartz,126 x 63,55.00,27.27,3,Low Tier
Seashore White,Mikado Quartz,3cm,Quartz,126 x 63,55.00,25.45,3,Low Tier
Serenity Gold,Mikado Quartz,3cm,Quartz,126 x 63,55.00,25.45,3,Low Tier
Siberia White,Mikado Quartz,3cm,Quartz,126 x 63,55.00,32.73,4,Mid Tier
Slate,Mikado Quartz,3cm,Quartz,126 x 63,55.00,35.45,4,Mid Tier
Sunset,Mikado Quartz,3cm,Quartz,126 x 63,55.00,23.64,3,Low Tier
Thunder,Mikado Quartz,3cm,Quartz,126 x 63,55.00,25.45,3,Low Tier
Tree,Mikado Quartz,3cm,Quartz,126 x 63,55.00,23.64,3,Low Tier
Volakas,Mikado Quartz,3cm,Quartz,126 x 63,55.00,25.45,3,Low Tier
Wet Concrete,Mikado Quartz,3cm,Quartz,126 x 63,55.00,32.73,4,Mid Tier
Ice Age,Sun Stone,2cm,Quartz,126 x 63,55.13,8.89,1,Low Tier
Galaxy White,Sun Stone,2cm,Quartz,126 x 63,55.13,8.89,1,Low Tier
Galaxy White,Sun Stone,2cm,Quartz,138 x 79,75.71,10.04,2,Low Tier
Galaxy Grey,Sun Stone,2cm,Quartz,126 x 63,55.13,9.98,1,Low Tier
Carrera Bianco,Sun Stone,2cm,Quartz,138 x 79,75.71,12.55,2,Low Tier
New River,Sun Stone,2cm,Quartz,126 x 63,55.13,12.52,2,Low Tier
White Silk,Sun Stone,2cm,Quartz,126 x 63,55.13,12.52,2,Low Tier
Mysterio Carrara,Sun Stone,2cm,Quartz,126 x 63,55.13,12.52,2,Low Tier
Calacatta Brina,Sun Stone,2cm,Quartz,126 x 63,55.13,12.52,2,Low Tier
Calacatta Altissimo,Sun Stone,2cm,Quartz,126 x 63,55.13,12.52,2,Low Tier
Calacatta Altissimo,Sun Stone,2cm,Quartz,138 x 79,75.71,15.72,2,Low Tier
Calacatta,Sun Stone,2cm,Quartz,126 x 63,55.13,13.60,2,Low Tier
Gem Creek,Sun Stone,2cm,Quartz,126 x 63,55.13,13.60,2,Low Tier
Carrera White,Sun Stone,2cm,Quartz,126 x 63,55.13,13.60,2,Low Tier
Carrera White,Sun Stone,2cm,Quartz,138 x 79,75.71,15.72,2,Low Tier
Calacatta Gold,Sun Stone,2cm,Quartz,126 x 63,55.13,13.60,2,Low Tier
Calacatta Gold,Sun Stone,2cm,Quartz,138 x 79,75.71,17.04,2,Low Tier
Fossil Creek,Sun Stone,2cm,Quartz,126 x 63,55.13,14.33,2,Low Tier
Champagne Silk,Sun Stone,2cm,Quartz,126 x 63,55.13,15.42,2,Low Tier
Blizzard,Sun Stone,2cm,Quartz,126 x 63,55.13,15.42,2,Low Tier
Calacatta Platino,Sun Stone,2cm,Quartz,126 x 63,55.13,16.14,2,Low Tier
Fossil Taupe,Sun Stone,2cm,Quartz,126 x 63,55.13,16.14,2,Low Tier
Speranza Bianco,Sun Stone,2cm,Quartz,126 x 63,55.13,17.23,2,Low Tier
Eiffel,Sun Stone,2cm,Quartz,126 x 63,55.13,17.23,2,Low Tier
Calacatta Bronze,Sun Stone,2cm,Quartz,126 x 63,55.13,17.96,2,Low Tier
Delicata,Sun Stone,2cm,Quartz,126 x 63,55.13,17.96,2,Low Tier
Sapphire Cement,Sun Stone,2cm,Quartz,126 x 63,55.13,19.77,2,Low Tier
Sapphire Cement,Sun Stone,2cm,Quartz,126 x 63,55.13,19.77,2,Low Tier
Neo Black Silk,Sun Stone,2cm,Quartz,126 x 63,55.13,19.77,2,Low Tier
Sierra Canyon,Sun Stone,2cm,Quartz,126 x 63,55.13,19.77,2,Low Tier
Silver Creek,Sun Stone,2cm,Quartz,126 x 63,55.13,21.59,3,Low Tier
Diamond Creek,Sun Stone,2cm,Quartz,126 x 63,55.13,21.59,3,Low Tier
Ocean Side,Sun Stone,2cm,Quartz,126 x 63,55.13,21.59,3,Low Tier
Grey Silk,Sun Stone,2cm,Quartz,126 x 63,55.13,23.40,3,Low Tier
Tranquility Gold,Sun Stone,2cm,Quartz,126 x 63,55.13,23.40,3,Low Tier
Arctic Tundra,Sun Stone,2cm,Quartz,126 x 63,55.13,23.40,3,Low Tier
Arctic Tundra,Sun Stone,2cm,Quartz,126 x 63,55.13,23.40,3,Low Tier
Black Silk,Sun Stone,2cm,Quartz,126 x 63,55.13,23.40,3,Low Tier
Arctic Autumn,Sun Stone,2cm,Quartz,126 x 63,55.13,23.40,3,Low Tier
Planet Tempel,Sun Stone,2cm,Quartz,126 x 61,53.38,26.04,3,Low Tier
Forest Betulla,Sun Stone,2cm,Quartz,126 x 61,53.38,26.04,3,Low Tier
Forest Magnolia,Sun Stone,2cm,Quartz,126 x 61,53.38,26.04,3,Low Tier
Planet Halley,Sun Stone,2cm,Quartz,126 x 65,56.88,27.95,3,Low Tier
Aruca White,MSI,2cm,Quartz,126x63,8.83,9.33,2,Low Tier
Aruca White,MSI,3cm,Quartz,126x63,11.55,12.3,2,Low Tier
Bayshore Sand,MSI,2cm,Quartz,126x63,8.83,9.33,2,Low Tier
Bayshore Sand,MSI,3cm,Quartz,126x63,11.55,12.3,2,Low Tier
Bianco Pepper,MSI,2cm,Quartz,126x63,8.83,9.33,2,Low Tier
Bianco Pepper,MSI,3cm,Quartz,126x63,11.55,12.3,2,Low Tier
Frost White,MSI,2cm,Quartz,126x63,8.83,9.33,2,Low Tier
Frost White,MSI,3cm,Quartz,126x63,11.55,12.3,2,Low Tier
Iced White,MSI,2cm,Quartz,126x63,8.83,9.33,2,Low Tier
Iced White,MSI,3cm,Quartz,126x63,11.55,12.3,2,Low Tier
Iced Gray,MSI,2cm,Quartz,126x63,8.83,9.33,2,Low Tier
Iced Gray,MSI,3cm,Quartz,126x63,11.55,12.3,2,Low Tier
Macabo Gray,MSI,2cm,Quartz,126x63,8.83,9.33,2,Low Tier
Macabo Gray,MSI,3cm,Quartz,126x63,11.55,12.3,2,Low Tier
Pebble Rock,MSI,2cm,Quartz,126x63,8.83,9.33,2,Low Tier
Pebble Rock,MSI,3cm,Quartz,126x63,11.55,12.3,2,Low Tier
Sparkling White,MSI,2cm,Quartz,126x63,8.83,9.33,2,Low Tier
Sparkling White,MSI,3cm,Quartz,126x63,11.55,12.3,2,Low Tier
Arctic White,MSI,2cm,Quartz,126x63/130x65/123x60,9.84,10.34,2,Low Tier
Arctic White,MSI,3cm,Quartz,126x63/130x65/123x60,12.96,13.71,2,Low Tier
Carrara Delphi,MSI,2cm,Quartz,126x63,9.84,10.34,2,Low Tier
Carrara Delphi,MSI,3cm,Quartz,126x63,12.96,13.71,2,Low Tier
Carrara Miksa,MSI,2cm,Quartz,126x63,9.84,10.34,2,Low Tier
Carrara Miksa,MSI,3cm,Quartz,126x63,12.96,13.71,2,Low Tier
Carrara Trigato,MSI,2cm,Quartz,126x63,9.84,10.34,2,Low Tier
Carrara Trigato,MSI,3cm,Quartz,126x63,12.96,13.71,2,Low Tier
Manhattan Gray,MSI,2cm,Quartz,126x63,9.84,10.34,2,Low Tier
Manhattan Gray,MSI,3cm,Quartz,126x63,12.96,13.71,2,Low Tier
Peppercorn White,MSI,2cm,Quartz,126x63,9.84,10.34,2,Low Tier
Peppercorn White,MSI,3cm,Quartz,126x63,12.96,13.71,2,Low Tier
Snow White,MSI,2cm,Quartz,126x63,9.84,10.34,2,Low Tier
Snow White,MSI,3cm,Quartz,126x63,12.96,13.71,2,Low Tier
Calacatta Alto,MSI,2cm,Quartz,126x63,11.65,12.15,2,Low Tier
Calacatta Alto,MSI,3cm,Quartz,126x63,14.82,15.57,2,Low Tier
Calacatta Duolina,MSI,2cm,Quartz,126x63,11.65,12.15,2,Low Tier
Calacatta Duolina,MSI,3cm,Quartz,126x63,14.82,15.57,2,Low Tier
Carrara Breve,MSI,2cm,Quartz,126x63,11.65,12.15,2,Low Tier
Carrara Breve,MSI,3cm,Quartz,126x63,14.82,15.57,2,Low Tier
Carrara Marmi,MSI,2cm,Quartz,126x63,11.65,12.15,2,Low Tier
Carrara Marmi,MSI,3cm,Quartz,126x63,14.82,15.57,2,Low Tier
Carrara Mist,MSI,2cm,Quartz,126x63,11.65,12.15,2,Low Tier
Carrara Mist,MSI,3cm,Quartz,126x63,14.82,15.57,2,Low Tier
Carrara Morro,MSI,2cm,Quartz,126x63,11.65,12.15,2,Low Tier
Carrara Morro,MSI,3cm,Quartz,126x63,14.82,15.57,2,Low Tier
Fossil Gray*,MSI,2cm,Quartz,126x63/130x65,11.65,12.15,2,Low Tier
Fossil Gray*,MSI,3cm,Quartz,126x63/130x65,14.82,15.57,2,Low Tier
Meridian Gray,MSI,2cm,Quartz,126x63,11.65,12.15,2,Low Tier
Meridian Gray,MSI,3cm,Quartz,126x63,14.82,15.57,2,Low Tier
Midnight Majesty*,MSI,2cm,Quartz,126x63,11.65,12.15,2,Low Tier
Midnight Majesty*,MSI,3cm,Quartz,126x63,14.82,15.57,2,Low Tier
Mystic Gray,MSI,2cm,Quartz,126x63,11.65,12.15,2,Low Tier
Mystic Gray,MSI,3cm,Quartz,126x63,14.82,15.57,2,Low Tier
New Carrara Marmi,MSI,2cm,Quartz,126x63,11.65,12.15,2,Low Tier
New Carrara Marmi,MSI,3cm,Quartz,126x63,14.82,15.57,2,Low Tier
Sparkling Black,MSI,2cm,Quartz,126x63,11.65,12.15,2,Low Tier
Sparkling Black,MSI,3cm,Quartz,126x63,14.82,15.57,2,Low Tier
Stellar White,MSI,2cm,Quartz,126x63,11.65,12.15,2,Low Tier
Stellar White,MSI,3cm,Quartz,126x63,14.82,15.57,2,Low Tier
Alabaster White,MSI,2cm,Quartz,126x63,13.74,15.24,2,Medium Tier
Alabaster White,MSI,3cm,Quartz,126x63,17.47,19.47,2,Medium Tier
Calacatta Bali,MSI,2cm,Quartz,126x63,13.74,15.24,2,Medium Tier
Calacatta Bali,MSI,3cm,Quartz,126x63,17.47,19.47,2,Medium Tier
Calacatta Classique UnBook-Match,MSI,2cm,Quartz,130x65/123x60,13.74,15.24,2,Medium Tier
Calacatta Classique UnBook-Match,MSI,3cm,Quartz,130x65/123x60,17.47,19.47,2,Medium Tier
Calacatta Elysio,MSI,2cm,Quartz,126x63,13.74,15.24,2,Medium Tier
Calacatta Elysio,MSI,3cm,Quartz,126x63,17.47,19.47,2,Medium Tier
Calacatta Idillio,MSI,2cm,Quartz,130x65,13.74,15.24,2,Medium Tier
Calacatta Idillio,MSI,3cm,Quartz,130x65,17.47,19.47,2,Medium Tier
Calacatta Izaro,MSI,2cm,Quartz,126x63,13.74,15.24,2,Medium Tier
Calacatta Izaro,MSI,3cm,Quartz,126x63,17.47,19.47,2,Medium Tier
Calacatta Karmelo,MSI,2cm,Quartz,126x63,13.74,15.24,2,Medium Tier
Calacatta Karmelo,MSI,3cm,Quartz,126x63,17.47,19.47,2,Medium Tier
Calacatta Lavasa,MSI,2cm,Quartz,126x63,13.74,15.24,2,Medium Tier
Calacatta Lavasa,MSI,3cm,Quartz,126x63,17.47,19.47,2,Medium Tier
Calacatta Laza,MSI,2cm,Quartz,126x63,13.74,15.24,2,Medium Tier
Calacatta Laza,MSI,3cm,Quartz,126x63,17.47,19.47,2,Medium Tier
Calacatta Laza Grigio,MSI,2cm,Quartz,126x63,13.74,15.24,2,Medium Tier
Calacatta Laza Grigio,MSI,3cm,Quartz,126x63,17.47,19.47,2,Medium Tier
Calacatta Laza Night,MSI,2cm,Quartz,126x63,13.74,15.24,2,Medium Tier
Calacatta Laza Night,MSI,3cm,Quartz,126x63,17.47,19.47,2,Medium Tier
Calacatta Laza Oro,MSI,2cm,Quartz,126x63,13.74,15.24,2,Medium Tier
Calacatta Laza Oro,MSI,3cm,Quartz,126x63,17.47,19.47,2,Medium Tier
Calacatta Leon,MSI,2cm,Quartz,126x63,13.74,15.24,2,Medium Tier
Calacatta Leon,MSI,3cm,Quartz,126x63,17.47,19.47,2,Medium Tier
Calacatta Leon Gold,MSI,2cm,Quartz,126x63,13.74,15.24,2,Medium Tier
Calacatta Leon Gold,MSI,3cm,Quartz,126x63,17.47,19.47,2,Medium Tier
Calacatta Luccia,MSI,2cm,Quartz,126x63,13.74,15.24,2,Medium Tier
Calacatta Luccia,MSI,3cm,Quartz,126x63,17.47,19.47,2,Medium Tier
Calacatta Lumanyx,MSI,2cm,Quartz,126x63,13.74,15.24,2,Medium Tier
Calacatta Lumanyx,MSI,3cm,Quartz,126x63,17.47,19.47,2,Medium Tier
Calacatta Miraggio,MSI,2cm,Quartz,126x63,13.74,15.24,2,Medium Tier
Calacatta Miraggio,MSI,3cm,Quartz,126x63,17.47,19.47,2,Medium Tier
Calacatta Miraggio Cielo,MSI,2cm,Quartz,126x63,13.74,15.24,2,Medium Tier
Calacatta Miraggio Cielo,MSI,3cm,Quartz,126x63,17.47,19.47,2,Medium Tier
Calacatta Miraggio Cove,MSI,2cm,Quartz,126x63,13.74,15.24,2,Medium Tier
Calacatta Miraggio Cove,MSI,3cm,Quartz,126x63,17.47,19.47,2,Medium Tier
Calacatta Miraggio Duo,MSI,2cm,Quartz,126x63,13.74,15.24,2,Medium Tier
Calacatta Miraggio Duo,MSI,3cm,Quartz,126x63,17.47,19.47,2,Medium Tier
Calacatta Miraggio Gold,MSI,2cm,Quartz,126x63,13.74,15.24,2,Medium Tier
Calacatta Miraggio Gold,MSI,3cm,Quartz,126x63,17.47,19.47,2,Medium Tier
Calacatta Miraggio Seaglass,MSI,2cm,Quartz,126x63,13.74,15.24,2,Medium Tier
Calacatta Miraggio Seaglass,MSI,3cm,Quartz,126x63,17.47,19.47,2,Medium Tier
Calacatta Miraggio Sienna,MSI,2cm,Quartz,126x63,13.74,15.24,2,Medium Tier
Calacatta Miraggio Sienna,MSI,3cm,Quartz,126x63,17.47,19.47,2,Medium Tier
Babylon Gray*,MSI,2cm,Quartz,126x63/130x65,16.5,18.5,2,Medium Tier
Babylon Gray*,MSI,3cm,Quartz,126x63/130x65,20.45,22.95,2,Medium Tier
Blanca Arabescato,MSI,2cm,Quartz,126x63,16.5,18.5,2,Medium Tier
Blanca Arabescato,MSI,3cm,Quartz,126x63,20.45,22.95,2,Medium Tier
Blanca Statuarietto,MSI,2cm,Quartz,126x63,16.5,18.5,2,Medium Tier
Blanca Statuarietto,MSI,3cm,Quartz,126x63,20.45,22.95,2,Medium Tier
New Calacatta Adonia,MSI,2cm,Quartz,126x63,16.5,18.5,2,Medium Tier
New Calacatta Adonia,MSI,3cm,Quartz,126x63,20.45,22.95,2,Medium Tier
Calacatta Botanica,MSI,2cm,Quartz,126x63,16.5,18.5,2,Medium Tier
Calacatta Botanica,MSI,3cm,Quartz,126x63,20.45,22.95,2,Medium Tier
Calacatta Classique Book-Match,MSI,2cm,Quartz,130x65/123x60,16.5,18.5,2,Medium Tier
Calacatta Classique Book-Match,MSI,3cm,Quartz,130x65/123x60,20.45,22.95,2,Medium Tier
New Calacatta Fioressa,MSI,2cm,Quartz,126x63,16.5,18.5,2,Medium Tier
New Calacatta Fioressa,MSI,3cm,Quartz,126x63,20.45,22.95,2,Medium Tier
Calacatta Karmelo,MSI,2cm,Quartz,126x63,16.5,18.5,2,Medium Tier
Calacatta Karmelo,MSI,3cm,Quartz,126x63,20.45,22.95,2,Medium Tier
Calacatta Laza,MSI,2cm,Quartz,126x63,16.5,18.5,2,Medium Tier
Calacatta Laza,MSI,3cm,Quartz,126x63,20.45,22.95,2,Medium Tier
Calacatta Leon,MSI,2cm,Quartz,126x63,16.5,18.5,2,Medium Tier
Calacatta Leon,MSI,3cm,Quartz,126x63,20.45,22.95,2,Medium Tier
Calacatta Prado,MSI,2cm,Quartz,126x63,16.5,18.5,2,Medium Tier
Calacatta Prado,MSI,3cm,Quartz,126x63,20.45,22.95,2,Medium Tier
